FİNANSAL DURUM TABLOSU;2022/12;2023/12;2024/12;2025/03
Sunum Para Birimi;1000TL;1000TL;1000TL;1000TL
Finansal Tablo Niteliği;Konsolide;Konsolide;Konsolide;Konsolide
Dönen Varlıklar;26187700;48237767;59471144;53210973
Duran Varlıklar;54544004;146483111;210785754;232185130
Toplam Varlıklar;80731704;194720878;270256898;285396103
Kısa Vadeli Yükümlülükler;26366177;56574989;64595416;50650717
Uzun Vadeli Yükümlülükler;34395248;39855675;59569909;69524634
Toplam Yükümlülükler;60761425;96430664;124165325;120175351
Ana Ortaklığa Ait Özkaynaklar;19970279;98290214;146091573;165220752
Ödenmiş Sermaye;3500000;3500000;3500000;3500000
Kontrol Gücü Olmayan Paylar;;;;
Toplam Özkaynaklar;19970279;98290214;146091573;165220752
Toplam Kaynaklar;80731704;194720878;270256898;285396103
KAR VEYA ZARAR VE DİĞER KAPSAMLI GELİR TABLOSU;2022/12;2023/12;2024/12;2025/03
Sunum Para Birimi;1000TL;1000TL;1000TL;1000TL
Finansal Tablo Niteliği;Konsolide;Konsolide;Konsolide;Konsolide
Hasılat;48042285;100184658;161650927;45596373
Satışların Maliyeti;-29577355;-78315943;-102203929;-27048050
Ticari Faaliyetlerden Brüt Kar (Zarar);18464930;21868715;59446998;18548323
Finans Sektörü Faaliyetleri Hasılatı;;;;
Finans Sektörü Faaliyetleri Maliyeti;;;;
Finans Sektörü Faaliyetlerinden Brüt Kâr (Zarar);;;;
Brüt Kâr (Zarar);18464930;21868715;59446998;18548323
Esas Faaliyet Kârı (Zararı);9301008;-4858252;25284520;7405464
Finansman Geliri (Gideri) Öncesi Faaliyet Kârı (Zararı);11711962;-612550;28738708;7994828
Sürdürülen Faaliyetler Vergi Öncesi Kârı (Zararı);1836474;3430234;24654743;8643020
Sürdürülen Faaliyetler Dönem Kârı (Zararı);4134846;16421552;8456145;5134196
Durdurulan Faaliyetler Dönem Kârı (Zararı);;;;
Net Dönem Kârı (Zararı);4134846;16421552;8456145;5134196
Dönem Kârının (Zararının) Dağılımı, Kontrol Gücü Olmayan Paylar;0;0;0;0
Dönem Kârının (Zararının) Dağılımı, Ana Ortaklık Payları;4134846;16421552;8456145;5134196
Diğer Kapsamlı Gelir (Gider);6540094;1093862;-4274773;-705868
Toplam Kapsamlı Gelir (Gider);10674940;17515414;4181372;4428328
Toplam Kapsamlı Gelirin Dağılımı, Kontrol Gücü Olmayan Paylar;0;0;0;0
Toplam Kapsamlı Gelirin Dağılımı, Ana Ortaklık Payları;10674940;17515414;4181372;4428328
